gender,Partner,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn
Female,Yes,1,No,Yes,29.85,No
Male,No,34,Yes,No,56.95,No
Male,No,2,Yes,Yes,53.85,Yes
Male,No,45,No,No,42.3,No
Female,No,2,Yes,Yes,70.7,Yes
Female,No,8,Yes,Yes,99.65,Yes
Male,No,22,Yes,Yes,89.1,No
Female,No,10,No,No,29.75,No
Female,Yes,28,Yes,Yes,104.8,Yes
Male,No,62,Yes,No,56.15,No
Male,Yes,13,Yes,Yes,49.95,No
Male,No,16,Yes,No,18.95,No
Male,Yes,58,Yes,No,100.35,No
Male,No,49,Yes,Yes,103.7,Yes
Male,No,25,Yes,Yes,105.5,No
Female,Yes,69,Yes,No,113.25,No
Female,No,52,Yes,No,20.65,No
Male,No,71,Yes,No,106.7,No
Female,Yes,10,Yes,No,55.2,Yes
Female,No,21,Yes,Yes,90.05,No
Male,No,1,No,Yes,39.65,Yes
Male,Yes,12,Yes,No,19.8,No
Male,No,1,Yes,No,20.15,Yes
Female,Yes,58,Yes,Yes,59.9,No
Male,Yes,49,Yes,No,59.6,No
Female,No,30,Yes,Yes,55.3,No
Male,Yes,47,Yes,Yes,99.35,Yes
Male,Yes,1,No,No,30.2,Yes
Male,Yes,72,Yes,Yes,90.25,No
Female,No,17,Yes,Yes,64.7,Yes
Female,Yes,71,Yes,Yes,96.35,No
Male,Yes,2,Yes,Yes,95.5,No
Female,Yes,27,Yes,No,66.15,No
Male,No,1,Yes,No,20.2,No
Male,No,1,Yes,No,45.25,No
Female,Yes,72,Yes,No,99.9,No
Male,No,5,Yes,Yes,69.7,Yes
Female,No,46,Yes,Yes,74.8,No
Male,No,34,Yes,Yes,106.35,Yes
Female,No,11,Yes,Yes,97.85,Yes
Male,Yes,10,Yes,No,49.55,No
Female,Yes,70,Yes,Yes,69.2,No
Female,Yes,17,Yes,No,20.75,No
Female,No,63,Yes,Yes,79.85,No
Female,Yes,13,Yes,Yes,76.2,No
Female,No,49,Yes,Yes,84.5,No
Male,No,2,Yes,No,49.25,No
Female,No,2,Yes,Yes,80.65,Yes
Male,No,52,Yes,Yes,79.75,No
Female,Yes,69,Yes,Yes,64.15,No
Female,No,43,Yes,Yes,90.25,No
Female,No,15,Yes,Yes,99.1,Yes
Female,Yes,25,Yes,Yes,69.5,No
Female,Yes,8,Yes,Yes,80.65,Yes
Female,Yes,60,Yes,Yes,74.85,No
Male,No,18,Yes,Yes,95.45,Yes
Female,Yes,63,Yes,Yes,99.65,No
Male,Yes,66,Yes,Yes,108.45,No
Female,Yes,34,Yes,No,24.95,No
Female,No,72,Yes,Yes,107.5,No
Female,Yes,47,Yes,Yes,100.5,No
Male,No,60,Yes,Yes,89.9,No
Male,Yes,72,No,No,42.1,No
Female,Yes,18,Yes,Yes,54.4,No
Female,No,9,Yes,No,94.4,Yes
Female,No,3,Yes,Yes,75.3,No
Male,Yes,47,Yes,Yes,78.9,No
Female,No,31,Yes,No,79.2,No
Female,Yes,50,Yes,No,20.15,No
Male,No,10,Yes,Yes,79.85,No
Male,No,1,Yes,No,49.05,No
Female,Yes,52,Yes,Yes,20.4,No
Male,Yes,64,Yes,Yes,111.6,No
Male,Yes,62,Yes,Yes,24.25,No
Female,No,3,Yes,Yes,64.5,No
Female,No,56,Yes,No,110.5,No
Female,No,46,Yes,No,55.65,No
Female,Yes,8,Yes,No,54.65,No
Male,No,30,Yes,Yes,74.75,No
Female,Yes,45,Yes,Yes,25.9,No
Female,No,1,Yes,Yes,79.35,Yes
Female,Yes,11,No,No,50.55,No
Female,Yes,7,Yes,Yes,75.15,Yes
Female,No,42,Yes,Yes,103.8,No
Female,Yes,49,Yes,Yes,20.15,No
Male,No,9,Yes,Yes,99.3,No
Female,Yes,35,Yes,Yes,62.15,No
Female,Yes,48,Yes,No,20.65,No
Female,Yes,46,Yes,Yes,19.95,No
Male,Yes,29,No,No,33.75,No
Male,Yes,30,Yes,No,82.05,No
Male,No,1,Yes,No,74.7,No
Male,Yes,66,Yes,Yes,84,No
Female,No,65,Yes,Yes,111.05,No
Male,No,72,Yes,Yes,100.9,No
Female,No,12,Yes,Yes,78.95,Yes
Male,Yes,71,Yes,Yes,66.85,No
Male,No,5,Yes,No,21.05,Yes
Male,No,52,Yes,No,21,No
Female,Yes,25,Yes,Yes,98.5,Yes
Male,No,1,Yes,No,20.2,No
Female,Yes,1,Yes,No,19.45,No
Male,No,38,Yes,No,95,No
Female,Yes,66,No,No,45.55,No
Male,Yes,68,Yes,Yes,110,Yes
Male,No,5,No,No,24.3,No
Female,Yes,72,Yes,Yes,104.15,No
Female,No,32,No,No,30.15,No
Male,No,43,Yes,No,94.35,No
Male,Yes,72,Yes,No,19.4,No
Male,Yes,55,Yes,Yes,96.75,Yes
Female,No,52,Yes,No,57.95,No
Female,No,43,Yes,Yes,91.65,No
Female,Yes,37,Yes,Yes,76.5,Yes
Female,Yes,64,No,Yes,54.6,No
Male,Yes,3,Yes,No,89.85,No
Female,No,36,No,No,31.05,No
Female,Yes,10,Yes,Yes,100.25,Yes
Female,No,41,Yes,No,20.65,No
Male,Yes,27,Yes,Yes,85.2,No
