umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,botak_prob
42.0,Laki-laki,PNS,Padang,7864004.982545328,0,0.0,61.92868494746879,152.1741638254119,Deadbuoy,1,S1,0.4876550409860402
33.0,Laki-laki,Pegawai swasta,Palangkaraya,6492662.290551791,0,0.0,49.374507050296835,152.82296905761683,Moonsilk,1,SMA,0.2972698689433598
59.0,Laki-laki,Freelance,Serang,8086302.91609897,1,0.0,59.072807242226254,159.91104743094957,Merpati,1,S1,0.4678476722930585
38.0,Laki-laki,Pegawai swasta,Gorontalo,11473212.562540766,0,1.0,68.33801359957734,162.55899730675802,Moonsilk,0,S1,0.616417872208616
33.0,Perempuan,Freelance,Tanjungselor,14759422.400087425,0,0.0,53.76999571761594,154.57950979636186,Pantone,1,S2,0.11543947788500294
39.0,Laki-laki,Pegawai swasta,Manado,10934704.22551454,0,0.0,64.68966767164798,154.16827384671862,Moonsilk,0,SMA,0.3037988350111573
29.0,Laki-laki,PNS,Tanjungselor,7669839.48532019,0,0.0,88.73878847410353,164.01391398956625,Shoulder & Head,0,S1,0.2571852581102409
36.0,Laki-laki,PNS,Jakarta,5268929.601008106,0,0.0,55.452607436574624,159.35709333991286,Deadbuoy,1,S1,0.36738185337127055
42.0,Laki-laki,PNS,Mataram,6950608.381990878,0,0.0,69.418221921949,161.6813401873483,Deadbuoy,1,SMA,0.4910333528498486
49.0,Perempuan,PNS,Samarinda,3981735.7470375113,0,0.0,59.58835737260621,165.19271064142808,Merpati,0,S1,0.23417024696319425
36.0,Perempuan,PNS,Manado,4608562.61786459,0,1.0,67.48885241569923,158.62435825458937,Merpati,0,SMP,0.4398826964893973
58.0,Laki-laki,Freelance,Palembang,9222056.284042828,0,1.0,70.93706089501738,170.11824418105218,Deadbuoy,1,SMP,0.7094455995620892
51.0,Laki-laki,Pegawai swasta,Semarang,5188498.54676652,0,0.0,65.29936508481917,159.02854315194386,Shoulder & Head,0,S1,0.372707464141208
53.0,Laki-laki,Pegawai swasta,Yogyakarta,9335939.52246436,0,0.0,64.94582435247885,158.60011272640315,Merpati,0,S1,0.44052665807655145
38.0,Perempuan,Pegawai swasta,Medan,13916413.982193165,0,0.0,54.27218037154518,159.12149474079047,Pantone,0,S1,0.13416379135418344
33.0,Laki-laki,Freelance,Tanjung Pinang,7513333.861179185,0,0.0,50.69279137797071,159.1881079512804,Pantone,0,SMA,0.1448621350346611
18.0,Perempuan,Freelance,Mamuju,5614776.642092405,0,0.0,47.530902933368814,153.21428302373403,Shoulder & Head,0,SMP,0.007391124594420507
33.0,Perempuan,Pegawai swasta,Banda Lampung,10153087.578251395,0,0.0,54.85848581404942,160.7471278666017,Moonsilk,0,S1,0.09072980238230473
41.0,Laki-laki,PNS,Palembang,16833564.37395128,0,0.0,59.107689591369116,155.24278489209655,Moonsilk,0,S2,0.3857065262322293
55.0,Laki-laki,PNS,Serang,11601979.29056908,0,0.0,57.928387113951004,159.7549201305601,Pantone,1,SMA,0.6914042736035119
36.0,Perempuan,PNS,Mamuju,7222836.82319544,0,0.0,71.87772910216194,166.40621263151908,Shoulder & Head,0,S1,0.20489330246726345
29.0,Laki-laki,PNS,Palembang,8692987.643832989,0,0.0,68.89751222684319,160.65676957120849,Pantone,0,S1,0.2050555971595653
32.0,Laki-laki,Pegawai swasta,Palu,5951630.462952301,0,0.0,50.433844561403,151.37577949096587,Shoulder & Head,1,S1,0.3262255827035493
28.0,Laki-laki,PNS,Palangkaraya,4972272.264802293,0,0.0,57.216253297814795,163.27172911865472,Pantone,1,S1,0.3995438779345607
26.0,Laki-laki,PNS,Jakarta,8376390.447265105,0,0.0,46.021852123146324,149.4749048834187,Deadbuoy,1,SMP,0.4212255252157149
30.0,Laki-laki,Pengangguran,Semarang,6217523.275197789,0,0.0,56.129864378636206,157.57539885207598,Shoulder & Head,0,SMP,0.5411622636978487
28.0,Perempuan,Pegawai swasta,Manado,14718961.523318576,0,0.0,57.35949063129277,165.05277622540518,Pantone,1,S1,0.2280802901014469
36.0,Perempuan,Pegawai swasta,Yogyakarta,14179627.739885975,0,1.0,61.8279848474076,163.939594445406,Deadbuoy,0,SMA,0.4422169090126683
30.0,Laki-laki,PNS,Yogyakarta,9932670.066138037,0,1.0,53.98197177163822,157.22937307208147,Merpati,0,S1,0.7169036266279845
48.0,Laki-laki,PNS,Ambon,16443550.167990267,0,0.0,56.85125311999609,162.87069114462142,Pantone,0,SMA,0.4312641583485524
34.0,Laki-laki,PNS,Tanjungselor,5619398.946684985,0,1.0,50.553659480038995,157.1390620847386,Pantone,0,SMP,0.5492238622114614
43.0,Laki-laki,,Ambon,3959176.9660871867,0,0.0,55.34220107349531,158.87015436098366,Deadbuoy,1,SMP,0.4748007718491564
49.0,Laki-laki,Freelance,Banjarmasin,5354801.812262032,0,0.0,55.15318078426027,159.11650905798754,Deadbuoy,0,SD,0.2245743396257129
45.0,Laki-laki,Freelance,Banda Aceh,10541642.56629389,0,1.0,51.909846160799255,157.71352693602853,Shoulder & Head,0,SMA,0.5070264833515893
43.0,Laki-laki,PNS,Bandung,9706705.478883663,0,0.0,60.86832259320591,161.09151626862575,,0,S1,0.39440822772615397
47.0,Laki-laki,Pegawai swasta,Ambon,8008017.091947315,0,0.0,49.71048800464357,149.0759194732682,Merpati,0,S1,0.2929664793654461
55.0,Perempuan,PNS,Pekanbaru,22693961.327375595,0,1.0,47.0861706150906,149.3235857973176,Deadbuoy,1,S1,0.8791804879573173
34.0,Laki-laki,Freelance,Banda Aceh,7650848.222187952,0,0.0,44.20458520867911,155.12669082164985,Moonsilk,0,S1,0.0984192685962248
13.0,Perempuan,Pengangguran,Tanjung Pinang,5873240.865722969,0,0.0,50.85158351029477,157.6876955896548,Merpati,1,S1,0.5132316486465361
31.0,Laki-laki,PNS,Serang,8554167.465861566,0,0.0,52.60951224766675,150.74370409909972,Merpati,0,S1,0.3282243856553356
32.0,Laki-laki,Pegawai swasta,Gorontalo,2922671.4299767087,0,0.0,84.91540714592706,168.03560372477503,Shoulder & Head,0,S1,0.2199471226497317
24.0,Laki-laki,PNS,Mataram,4308049.311781528,0,0.0,58.4485874702999,163.39105694057,Pantone,0,S1,0.2575166621877054
48.0,Perempuan,Freelance,Pangkalpinang,7219947.471160928,0,0.0,61.297566422804316,164.013383029694,Merpati,0,SMA,0.17790273364171416
33.0,Laki-laki,Pegawai swasta,Jakarta,1945540.5703846768,0,1.0,61.690637668190696,152.28466794475804,Shoulder & Head,0,SMA,0.4640983842495906
45.0,Perempuan,Pegawai swasta,Bandung,14518234.766207125,0,0.0,61.893489334024494,170.15682249524247,Pantone,0,S2,0.1944474228196459
38.0,Laki-laki,Pegawai swasta,Samarinda,5777159.014821779,0,0.0,78.9289085813026,168.24969788343122,Merpati,1,S1,0.2993999883015508
37.0,Perempuan,Freelance,Surabaya,13767989.011245292,0,1.0,62.02898062209918,162.8109026581401,Shoulder & Head,1,S1,0.4673710476064857
52.0,Perempuan,PNS,Pangkalpinang,5017832.479140013,0,0.0,49.8826046808265,160.58171785022938,Merpati,1,SMA,0.5107729329565975
33.0,Laki-laki,Freelance,Mamuju,7895491.665685047,0,0.0,50.73975488115576,151.3944369838365,Moonsilk,1,S1,0.26379054216120523
45.0,Perempuan,Pegawai swasta,Pontianak,9440019.327220447,0,0.0,64.25406953619975,166.69389832915562,Merpati,1,S1,0.2477152119768092
41.0,Perempuan,PNS,Palembang,5304095.390972817,0,1.0,64.644188082819,161.2194955270078,Pantone,1,SMA,0.7012422614610693
34.0,Laki-laki,Pegawai swasta,Gorontalo,3816546.4832558,0,0.0,54.15952322221734,155.23706704251885,Pantone,0,S2,0.2669040945744655
35.0,Perempuan,Freelance,Banda Aceh,13063322.853578,0,0.0,47.71064316380949,154.61966593297902,Moonsilk,1,S2,0.15687178321845952
